time,a.s.x,a.s.y,a.v.x,a.v.y,a.a.x,a.a.y,b.s.x,b.s.y,b.v.x,b.v.y,b.a.x,b.a.y
2.0047,0.139744,0.16356,-0.0179956,0.0282863,0,0,0.260726,0.21691,0.117996,0.0717137,0,0
2.0048,0.139742,0.163563,-0.0179956,0.0282863,0,0,0.260738,0.216917,0.117996,0.0717137,0,0
2.0049,0.13974,0.163566,-0.0179956,0.0282863,0,0,0.26075,0.216924,0.117996,0.0717137,0,0
2.005,0.139738,0.163569,-0.0179956,0.0282863,0,0,0.260762,0.216931,0.117996,0.0717137,0,0
2.0051,0.139737,0.163571,-0.0179956,0.0282863,0,0,0.260773,0.216939,0.117996,0.0717137,0,0
2.0052,0.139735,0.163574,-0.0179956,0.0282863,0,0,0.260785,0.216946,0.117996,0.0717137,0,0
2.0053,0.139733,0.163577,-0.0179956,0.0282863,0,0,0.260797,0.216953,0.117996,0.0717137,0,0
2.0054,0.139731,0.16358,-0.0179956,0.0282863,0,0,0.260809,0.21696,0.117996,0.0717137,0,0
2.0055,0.139729,0.163583,-0.0179956,0.0282863,0,0,0.260821,0.216967,0.117996,0.0717137,0,0
2.0056,0.139728,0.163586,-0.0179956,0.0282863,0,0,0.260832,0.216974,0.117996,0.0717137,0,0
2.0057,0.139726,0.163588,-0.0179956,0.0282863,0,0,0.260844,0.216982,0.117996,0.0717137,0,0
2.0058,0.139724,0.163591,-0.0179956,0.0282863,0,0,0.260856,0.216989,0.117996,0.0717137,0,0
2.0059,0.139722,0.163594,-0.0179956,0.0282863,0,0,0.260868,0.216996,0.117996,0.0717137,0,0
2.006,0.13972,0.163597,-0.0179956,0.0282863,0,0,0.26088,0.217003,0.117996,0.0717137,0,0
2.0061,0.139719,0.1636,-0.0179956,0.0282863,0,0,0.260891,0.21701,0.117996,0.0717137,0,0
2.0062,0.139717,0.163603,-0.0179956,0.0282863,0,0,0.260903,0.217017,0.117996,0.0717137,0,0
2.0063,0.139715,0.163605,-0.0179956,0.0282863,0,0,0.260915,0.217025,0.117996,0.0717137,0,0
2.0064,0.139713,0.163608,-0.0179956,0.0282863,0,0,0.260927,0.217032,0.117996,0.0717137,0,0
2.0065,0.139711,0.163611,-0.0179956,0.0282863,0,0,0.260939,0.217039,0.117996,0.0717137,0,0
2.0066,0.13971,0.163614,-0.0179956,0.0282863,0,0,0.26095,0.217046,0.117996,0.0717137,0,0
2.0067,0.139708,0.163617,-0.0179956,0.0282863,0,0,0.260962,0.217053,0.117996,0.0717137,0,0
2.0068,0.139706,0.163619,-0.0179956,0.0282863,0,0,0.260974,0.217061,0.117996,0.0717137,0,0
2.0069,0.139704,0.163622,-0.0179956,0.0282863,0,0,0.260986,0.217068,0.117996,0.0717137,0,0
2.007,0.139702,0.163625,-0.0179956,0.0282863,0,0,0.260998,0.217075,0.117996,0.0717137,0,0
2.0071,0.139701,0.163628,-0.0179956,0.0282863,0,0,0.261009,0.217082,0.117996,0.0717137,0,0
